kernel_id,gpu_target,category,file_name,source_path,algorithm_name,variant,line_count,byte_size,source_sha256,has_flags,flags_path,flags,requires_rdc_from_flags,requires_rdc,uses_cooperative_groups,uses_atomic_ops,uses_cache_pool,uses_compact_graph,uses_cusparse,includes
a100/community/analyze_clustering_modularity_f32_seg,a100,community,analyze_clustering_modularity_f32_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f32_seg.cu,analyze_clustering_modularity_f32,seg,445,13834,049a44d1a3bedb646d8b2a3ff3ab4d4d443636aaae01f265a2bda1ee49da6e49,True,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f32_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cstddef
a100/community/analyze_clustering_modularity_f64,a100,community,analyze_clustering_modularity_f64.cu,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f64.cu,analyze_clustering_modularity_f64,base,242,6829,4f87682a0c515aa524549413b5995da2adf0cc7fea9aa82bbd2d7f93729f2d51,True,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f64.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint
a100/community/analyze_clustering_modularity_f64_seg,a100,community,analyze_clustering_modularity_f64_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f64_seg.cu,analyze_clustering_modularity_f64,seg,470,13265,6a0cc08360b39c3dcdc5d3716258e7ed1f3db8a86ee84f3ddf29d1a3bf7e5e48,True,cpp/src/aai/impl/a100/community/analyze_clustering_modularity_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef
a100/community/analyze_clustering_ratio_cut_f32,a100,community,analyze_clustering_ratio_cut_f32.cu,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f32.cu,analyze_clustering_ratio_cut_f32,base,504,20640,121bd444ebd847893cffe942db9a22f9424df1dcbf1772bbaa6e72b9fbec6eb0,True,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f32.cu.flags,--use_fast_math --extra-device-vectorization,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;algorithm;cub/block/block_reduce.cuh
a100/community/analyze_clustering_ratio_cut_f32_seg,a100,community,analyze_clustering_ratio_cut_f32_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f32_seg.cu,analyze_clustering_ratio_cut_f32,seg,753,24028,774fbc35509019e0a213a10555794644b07948ecb57466839ceb9f517d11a4a4,True,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f32_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;algorithm
a100/community/analyze_clustering_ratio_cut_f64,a100,community,analyze_clustering_ratio_cut_f64.cu,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f64.cu,analyze_clustering_ratio_cut_f64,base,422,14231,c469a16c2c993ca4519099013830240afeebc588397182715128e9ff5a0fadf5,True,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f64.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cub/block/block_reduce.cuh
a100/community/analyze_clustering_ratio_cut_f64_seg,a100,community,analyze_clustering_ratio_cut_f64_seg.cu,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f64_seg.cu,analyze_clustering_ratio_cut_f64,seg,488,14847,b283d046565da62115731dd596a2a0e519f1d26a1b5230c0e89e69311ffff49b,True,cpp/src/aai/impl/a100/community/analyze_clustering_ratio_cut_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cub/cub.cuh
a100/community/ecg_f32,a100,community,ecg_f32.cu,cpp/src/aai/impl/a100/community/ecg_f32.cu,ecg_f32,base,340,17083,e24f5d5d380974cff0ae14334eb47fad2ae5cf92bf03da5ccb709d91512c0c6c,True,cpp/src/aai/impl/a100/community/ecg_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;thrust/reduce.h;thrust/unique.h;thrust/sequence.h;thrust/execution_policy.h;thrust/binary_search.h;thrust/sort.h;thrust/iterator/counting_iterator.h;cstdint
a100/community/ecg_f32_seg,a100,community,ecg_f32_seg.cu,cpp/src/aai/impl/a100/community/ecg_f32_seg.cu,ecg_f32,seg,662,22816,d06fed95c278933f4250440a39a6f04c7ef49d150e7fa7f19042ef603c32481e,True,cpp/src/aai/impl/a100/community/ecg_f32_seg.cu.flags,--use_fast_math --maxrregcount=40,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;thrust/device_ptr.h;thrust/sort.h;thrust/reduce.h;thrust/unique.h;thrust/execution_policy.h;thrust/iterator/counting_iterator.h;thrust/binary_search.h;thrust/copy.h;thrust/sequence.h;thrust/tuple.h;thrust/functional.h;thrust/transform.h;thrust/iterator/zip_iterator.h;math_constants.h;cstdint;vector
a100/community/ecg_f64,a100,community,ecg_f64.cu,cpp/src/aai/impl/a100/community/ecg_f64.cu,ecg_f64,base,528,20797,c9185cfe317167ed466dd8b4748c30985f895667f088bd42605b9408959ca8af,True,cpp/src/aai/impl/a100/community/ecg_f64.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;thrust/device_vector.h;thrust/device_ptr.h;thrust/sort.h;thrust/reduce.h;thrust/scan.h;thrust/transform.h;thrust/for_each.h;thrust/iterator/counting_iterator.h;thrust/iterator/zip_iterator.h;thrust/binary_search.h;thrust/unique.h;thrust/copy.h;thrust/sequence.h;thrust/fill.h;thrust/execution_policy.h;thrust/functional.h;thrust/gather.h;thrust/scatter.h;thrust/extrema.h;thrust/equal.h;cstdint;cstdio;vector
a100/community/ecg_f64_seg,a100,community,ecg_f64_seg.cu,cpp/src/aai/impl/a100/community/ecg_f64_seg.cu,ecg_f64,seg,509,18946,8761ecd1c859dba0928aa5fed24a6c85325bd986a5e964d41ef4c81c6dca779c,True,cpp/src/aai/impl/a100/community/ecg_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;thrust/sort.h;thrust/unique.h;thrust/reduce.h;thrust/scan.h;thrust/iterator/transform_iterator.h;thrust/execution_policy.h;thrust/device_ptr.h;thrust/binary_search.h;cstdint;vector
a100/community/extract_ego,a100,community,extract_ego.cu,cpp/src/aai/impl/a100/community/extract_ego.cu,extract_ego,base,382,13394,e31c0193843128e52ea093ca71322c959434cd758e94c37f9342f31c594d28bb,True,cpp/src/aai/impl/a100/community/extract_ego.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;algorithm;vector
a100/community/extract_ego_seg,a100,community,extract_ego_seg.cu,cpp/src/aai/impl/a100/community/extract_ego_seg.cu,extract_ego,seg,945,34249,8ced19c8da136e054a2d49d9ed9885572ef98615aaff462a1a0c01890ebaa925,True,cpp/src/aai/impl/a100/community/extract_ego_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstring;algorithm;vector
a100/community/extract_ego_weighted_f32,a100,community,extract_ego_weighted_f32.cu,cpp/src/aai/impl/a100/community/extract_ego_weighted_f32.cu,extract_ego_weighted_f32,base,306,11060,6f6c337f5dea554198efc20422d009619789b1f41c888309c61203484ff78740,True,cpp/src/aai/impl/a100/community/extract_ego_weighted_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;vector;thrust/sort.h;thrust/iterator/zip_iterator.h;thrust/tuple.h;thrust/execution_policy.h;thrust/device_ptr.h
a100/community/extract_ego_weighted_f32_seg,a100,community,extract_ego_weighted_f32_seg.cu,cpp/src/aai/impl/a100/community/extract_ego_weighted_f32_seg.cu,extract_ego_weighted_f32,seg,496,17005,f84a5f2f2624434e4299b59b84669d22b3a950b879d5bf1b43123d4aecacbc5f,True,cpp/src/aai/impl/a100/community/extract_ego_weighted_f32_seg.cu.flags,--use_fast_math -Xptxas -dlcm=ca,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cstddef;cub/cub.cuh;vector
